# ----------------------------------------,,,,,,
# Firebase overview,,,,,,
# ----------------------------------------,,,,,,
# How are active users trending?,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Nth day,30 days,7 days,1 day,,,
C21 Plus,31,,,,,
CM5,31,,,,,
CM6,31,,,,,
SM-A336E,31,,,,,
SM-G960U,31,,,,,
SM-T227U,31,,,,,
W6004P,31,,,,,
X689C,31,,,,,
AMN-LX9,30,,,,,
CH6,30,,,,,
KYT33,30,,,,,
MAR-LX1A,30,,,,,
SM-A057G,30,,,,,
SM-A307FN,30,,,,,
V2310,30,,,,,
X655C,30,,,,,
iPhone 11,30,,,,,
KG7h,29,,,,,
LDN-L21,29,,,,,
SM-A715F,29,,,,,
T1002,29,,,,,
24117RN76G,28,,,,,
CL6k,28,,,,,
SM-A013G,28,,,,,
SM-A356E,28,,,,,
STK-L22,28,,,,,
X6819,28,,,,,
CD6,27,,,,,
JAT-L29,27,,,,,
PR651H,27,,,,,
SM-A525F,27,,,,,
2015,26,,,,,
2201117TG,26,,,,,
A83,26,,,,,
CPH2239,26,,,,,
G10,26,,,,,
SM-E135F,26,,,,,
iPhone X,26,,,,,
A667LP,25,,,,,
CPH2477,25,,,,,
FLA-LX1,25,,,,,
SM-A305F,25,,,,,
SM-A505F,25,,,,,
SM-J410F,25,,,,,
SM-X110,25,,,,,
2404ARN45A,24,,,,,
BD4h,24,,,,,
KD7h,24,,,,,
SM-A3460,24,,,,,
SM-A556E,24,,,,,
SM-T220,24,,,,,
801LV,23,,,,,
CG7,23,,,,,
CPH2349,23,,,,,
CPH2577,23,,,,,
KD6,23,,,,,
P683L,23,,,,,
SM-A226B,23,,,,,
SM-N960U,23,,,,,
SM-T515,23,,,,,
X6880,23,,,,,
CK7n,22,,,,,
GFY-LX2P,22,,,,,
KFONWI,22,,,,,
Neon Smarta,22,,,,,
RMX3231,22,,,,,
SM-G950F,22,,,,,
SM-T505N,22,,,,,
iPhone 7,22,,,,,
BD4j,21,,,,,
CPH2083,21,,,,,
DRA-LX5,21,,,,,
P671L,21,,,,,
P673L,21,,,,,
SM-A725F,21,,,,,
SM-A736B,21,,,,,
SM-T585,21,,,,,
SM-X200,21,,,,,
U965,21,,,,,
X653,21,,,,,
X658E,21,,,,,
X680,21,,,,,
A632W,20,,,,,
BE6j,20,,,,,
BND-L21,20,,,,,
C10,20,,,,,
CD6j,20,,,,,
KJ6,20,,,,,
MAR-LX1M,20,,,,,
SM-G965F,20,,,,,
SM-M055F,20,,,,,
iPhone 7 Plus,20,,,,,
23073RPBFG,19,,,,,
CPH2565,19,,,,,
KC6,19,,,,,
KJ7,19,,,,,
SM-A260F,19,,,,,
SM-G950U,19,,,,,
SM-G965U,19,,,,,
SM-M135FU,19,,,,,
V2027,19,,,,,
V2120,19,,,,,
24076RP19G,18,,,,,
A509WM,18,,,,,
BE7,18,,,,,
BG7,18,,,,,
C1 2nd Edition,18,,,,,
CG6j,18,,,,,
CLA5,18,,,,,
CPH2385,18,,,,,
CPH2473,18,,,,,
CPH2669,18,,,,,
KH7,18,,,,,
KL6,18,,,,,
M10 Max,18,,,,,
NEON RAY 2,18,,,,,
S667LN,18,,,,,
SM-M145F,18,,,,,
SM-T580,18,,,,,
U964,18,,,,,
V2419,18,,,,,
X6853,18,,,,,
23117RA68G,17,,,,,
A663LC,17,,,,,
CPH1911,17,,,,,
E34,17,,,,,
SM-A207F,17,,,,,
SM-A546E,17,,,,,
SM-G975F,17,,,,,
SM-G975U,17,,,,,
SM-N960F,17,,,,,
SM-T510,17,,,,,
T10,17,,,,,
WOD-LX2,17,,,,,
iPhone 12,17,,,,,
iPhone 13,17,,,,,
ANE-LX1,16,,,,,
Blade A34,16,,,,,
CC6,16,,,,,
CC9,16,,,,,
CF7,16,,,,,
G20,16,,,,,
JDY-LX1,16,,,,,
M2101K6G,16,,,,,
P661W,16,,,,,
SM-A536E,16,,,,,
SM-G955U,16,,,,,
W6501,16,,,,,
X663,16,,,,,
iPhone,16,,,,,
